##mBInventory;;;;;;;
code;name;category;quantity;cost;active;visible;unit
INVENTORY-CARTON_TUSKER;Carton tusker;categorie-kugatumba-bar;2;;TRUE;TRUE;caisse
INVENTORY-CARTON_SMINOFF;Carton sminoff;categorie-kugatumba-bar;2;;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_SOMA;Bouteuille soma;categorie-kugatumba-bar;12;;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_AMSTEL_G;Bouteuille amstel G;categorie-kugatumba-bar;6;24000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_AMSTEL_P;Bouteuille amstel P;categorie-kugatumba-bar;5;20000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_PRIMUS_G ;Bouteuille primus G;categorie-kugatumba-bar;7;28000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_PRIMUS_P ;Bouteuille primus P;categorie-kugatumba-bar;13;52000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_FANTA;Bouteuille fanta;categorie-kugatumba-bar;17;17000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_VIVA;Bouteuille viva;categorie-kugatumba-bar;8;8000;TRUE;TRUE;caisse
INVENTORY-BOUTEUILLE_ROYALE;Bouteuille royale;categorie-kugatumba-bar;3;15000;TRUE;TRUE;caisse
INVENTORY-CARTON_VIDE_AMSTEL_G;Carton vide amstel G;categorie-kugatumba-bar;7;70000;TRUE;TRUE;caisse
INVENTORY-CARTON_VIDE_AMSTEL_P;Carton vide amstel P;categorie-kugatumba-bar;33;165000;TRUE;TRUE;caisse
INVENTORY-CARTON_VIDE_PRIMUS_G;Carton vide primus G;categorie-kugatumba-bar;16;80000;TRUE;TRUE;caisse
INVENTORY-CARTON_VIDE_VIVA;Carton vide viva;categorie-kugatumba-bar;13;65000;TRUE;TRUE;caisse
INVENTORY-CHAISES;Chaises ;categorie-kugatumba-bar;146;6580000;TRUE;TRUE;piece
